File	NameFile	StartT	EndT	Value
1	file_1	1335985200	1336118135	1000
2	file_2	1336122370	1336376883	1000
3	file_3	1336382641	1336548845	1000
4	file_4	1336553832	1336722700	1000
5	file_5	1336731008	1336982078	1000
6	file_6	1336992307	1337156733	1000
7	file_7	1337163417	1337325746	1000
8	file_8	1337332653	1337594420	1000
9	file_9	1337602054	1337766069	1000
