File	NameFile	StartT	EndT	Value
1	20120502	1335985200	1336118081	1000
2	20120504	1336122370	1336376883	1000
3	20120507	1336382641	1336548845	1000
4	20120509	1336553832	1336722700	1000
5	20120511	1336731008	1336982078	1000
6	20120514	1336992307	1337156733	1000
7	20120516	1337163417	1337325746	1000
8	20120518	1337332653	1337594420	1000
9	20120521	1337602054	1337766069	1000
