CAGE	Caption	Channel	Duration	EndL	EndT	File	Index	InterTime	Name	Nature	SlotI	StartL	StartT	Type	Value	Velocity	linen	period
1	Drink 1	Intake 1	16	969	1335958977	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	245	NA	WWSS	water	1	953	1335958961	1	0.02	0.00125	2017	1
1	Food 1	Intake 3	94	1569	1335959577	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	207	700	WWSS	food_sc	3	1475	1335959483	1	0.04	0.000425531914893617	2018	1
1	Food 1	Intake 3	86	2355	1335960363	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	209	415	WWSS	food_sc	3	2269	1335960277	1	0.02	0.000232558139534884	2019	1
1	Food 1	Intake 3	28	2798	1335960806	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	211	6695	WWSS	food_sc	3	2770	1335960778	1	0.02	0.000714285714285714	2020	1
1	Drink 1	Intake 1	17	2944	1335960952	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	270	NA	WWSS	water	1	2927	1335960935	1	0.02	0.00117647058823529	2021	1
1	Drink 1	Intake 1	20	3045	1335961053	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	271	NA	WWSS	water	1	3025	1335961033	1	0.02	0.001	2022	1
1	Food 1	Intake 3	311	9804	1335967812	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	214	11	WWSS	food_sc	3	9493	1335967501	1	0.1	0.000321543408360129	2023	1
1	Food 1	Intake 3	52	9867	1335967875	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	215	4846	WWSS	food_sc	3	9815	1335967823	1	0.02	0.000384615384615385	2024	1
1	Drink 2	Intake 2	82	11794	1335969802	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	94	NA	WWSS	water	2	11712	1335969720	1	0.06	0.000731707317073171	2025	1
1	Drink 1	Intake 1	18	14660	1335972668	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	289	NA	WWSS	water	1	14642	1335972650	1	0.02	0.00111111111111111	2026	1
