CAGE	Caption	Channel	Duration	EndL	EndT	File	Index	InterTime	Name	Nature	SlotI	StartL	StartT	Type	Value	Velocity	linen	period
4	Drink 2	Intake 2	20	330	1335958338	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	144	NA	WWSS	water	2	310	1335958318	1	0.02	0.001	8641	1
4	Food 1	Intake 3	147	19487	1335977495	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	133	24	WWSS	food_sc	3	19340	1335977348	1	0.02	0.000136054421768707	8642	1
4	Food 1	Intake 3	110	19621	1335977629	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	134	12	WWSS	food_sc	3	19511	1335977519	1	0.02	0.000181818181818182	8643	1
4	Food 1	Intake 3	269	19902	1335977910	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	135	6903	WWSS	food_sc	3	19633	1335977641	1	0.08	0.000297397769516729	8644	1
4	Drink 1	Intake 1	40	20413	1335978421	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	232	NA	WWSS	water	1	20373	1335978381	1	0.04	0.001	8645	1
4	Food 1	Intake 3	393	27198	1335985206	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	149	886	WWSS	food_sc	3	26805	1335984813	1	0.1	0.000254452926208651	8646	1
4	Drink 2	Intake 2	23	27941	1335985949	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	162	NA	WWSS	water	2	27918	1335985926	1	0.02	0.000869565217391304	8647	1
4	Food 2	Intake 4	218	28302	1335986310	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	302	19	WWSS	food_sc	4	28084	1335986092	1	0.04	0.00018348623853211	8648	1
4	Food 2	Intake 4	257	28578	1335986586	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	303	604	WWSS	food_sc	4	28321	1335986329	1	0.08	0.000311284046692607	8649	1
4	Drink 2	Intake 2	46	28648	1335986656	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	166	NA	WWSS	water	2	28602	1335986610	1	0.08	0.00173913043478261	8650	1
