CAGE	Caption	Channel	Duration	EndL	EndT	File	Index	InterTime	Name	Nature	SlotI	StartL	StartT	Type	Value	Velocity	linen	period
2	Drink 2	Intake 2	40	1654	1335959662	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	106	NA	WWSS	water	2	1614	1335959622	1	0.02	0.0005	4790	1
2	Food 1	Intake 3	68	1850	1335959858	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	212	1160	WWSS	food_sc	3	1782	1335959790	1	0.02	0.000294117647058824	4791	1
2	Food 1	Intake 3	33	3043	1335961051	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	214	4	WWSS	food_sc	3	3010	1335961018	1	0.02	0.000606060606060606	4792	1
2	Food 1	Intake 3	52	3099	1335961107	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	215	8797	WWSS	food_sc	3	3047	1335961055	1	0.02	0.000384615384615385	4793	1
2	Drink 1	Intake 1	18	3641	1335961649	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	118	NA	WWSS	water	1	3623	1335961631	1	0.02	0.00111111111111111	4794	1
2	Drink 2	Intake 2	21	4513	1335962521	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	120	NA	WWSS	water	2	4492	1335962500	1	0.02	0.000952380952380952	4795	1
2	Drink 2	Intake 2	50	4780	1335962788	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	123	NA	WWSS	water	2	4730	1335962738	1	0.02	0.0004	4796	1
2	Drink 2	Intake 2	20	4822	1335962830	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	124	NA	WWSS	water	2	4802	1335962810	1	0.02	0.001	4797	1
2	Drink 2	Intake 2	20	5725	1335963733	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	129	NA	WWSS	water	2	5705	1335963713	1	0.02	0.001	4798	1
2	Food 1	Intake 3	153	12049	1335970057	/users/cn/jespinosa/phecomp/data/CRG/20120502_FDF_CRG/20120502_FDF_CRG/20120502_FDF_CRG_c12.mtb	227	3272	WWSS	food_sc	3	11896	1335969904	1	0.06	0.000392156862745098	4799	1
